시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
경기도 성남시중원구 성남동,3***,8m미만,25,월세,202401,1,"2,000",20,1988,원터로93번길,-,-,-,,,단독다가구
경기도 성남시중원구 성남동,3***,8m미만,32.08,월세,202401,2,500,40,1996,제일로43번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,12m미만,23.13,월세,202401,2,500,40,2002,제일로35번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,12m미만,30,전세,202401,2,"7,500",0,1991,제일로63번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,2***,8m미만,65.7,월세,202401,2,"2,000",70,1989,광명로110번길,202402~202602,신규,-,,,단독다가구
경기도 성남시중원구 성남동,2***,8m미만,44.19,월세,202401,3,"1,000",40,,광명로142번길,202403~202603,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,-,19.83,월세,202401,3,500,58,,,-,-,-,,,단독다가구
경기도 성남시중원구 성남동,3***,25m이상,80.1,월세,202401,3,"3,000",85,1989,둔촌대로,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,8m미만,45,월세,202401,3,"1,000",65,1997,제일로63번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,2***,8m미만,60.66,월세,202401,3,"5,000",60,1988,원터로99번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,2***,8m미만,24,월세,202401,6,300,25,2014,광명로142번길,-,-,-,,,단독다가구
경기도 성남시중원구 성남동,3***,8m미만,19.8,월세,202401,6,500,35,1990,둔촌대로101번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,8m미만,29.25,전세,202401,6,"10,000",0,1991,제일로33번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,12m미만,30,월세,202401,6,"2,000",35,1991,제일로63번길,202402~202602,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,25m이상,20,월세,202401,8,"3,000",50,2011,둔촌대로,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,12m미만,83.06,전세,202401,8,"25,000",0,2004,원터로69번길,-,-,-,,,단독다가구
경기도 성남시중원구 성남동,3***,8m미만,50,월세,202401,8,"1,000",60,1994,제일로63번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,12m미만,83.06,월세,202401,8,"14,500",50,2004,원터로69번길,202402~202602,신규,-,,,단독다가구
경기도 성남시중원구 성남동,4***,-,26,월세,202401,8,"3,000",50,,둔촌대로113번길,202402~202602,신규,-,,,단독다가구
경기도 성남시중원구 성남동,2***,-,35,월세,202401,9,"2,000",55,,,-,-,-,,,단독다가구
경기도 성남시중원구 성남동,3***,12m미만,39.66,전세,202401,9,"18,000",0,1988,제일로73번길,-,-,-,,,단독다가구
경기도 성남시중원구 성남동,3***,12m미만,39.66,전세,202401,9,"18,000",0,1988,제일로73번길,202402~202602,신규,-,,,단독다가구
경기도 성남시중원구 성남동,2***,8m미만,35,월세,202401,9,"2,000",55,1991,원터로99번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,2***,12m미만,30,월세,202401,9,500,47,1988,광명로100번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,2***,12m미만,42,전세,202401,10,"5,000",0,1989,원터로105번길,-,-,-,,,단독다가구
경기도 성남시중원구 성남동,3***,12m미만,60.35,월세,202401,11,"7,000",50,,제일로35번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,-,60.35,월세,202401,11,"7,000",50,,,-,-,-,,,단독다가구
경기도 성남시중원구 성남동,3***,8m미만,59.34,월세,202401,11,"4,000",70,1997,제일로73번길,202402~202602,신규,-,,,단독다가구
경기도 성남시중원구 성남동,4***,-,39,월세,202401,12,"1,000",45,,성남대로1147번길,202402~202602,신규,-,,,단독다가구
경기도 성남시중원구 성남동,4***,12m미만,58.36,전세,202401,13,"28,000",0,2017,둔촌대로52번길,202403~202603,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,12m미만,22,월세,202401,13,"1,000",45,2002,광명로32번길,-,-,-,,,단독다가구
경기도 성남시중원구 성남동,3***,-,35.48,전세,202401,15,"18,000",0,,광명로32번길,202402~202602,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,8m미만,10,월세,202401,15,0,35,1989,원터로93번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,8m미만,16,월세,202401,15,500,37,1988,제일로43번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,2***,8m미만,50.05,전세,202401,15,"12,000",0,1991,광명로142번길,202402~202602,신규,-,,,단독다가구
경기도 성남시중원구 성남동,4***,8m미만,17,월세,202401,16,"3,000",42,2009,둔촌대로113번길,202403~202503,갱신,-,"3,000",40,단독다가구
경기도 성남시중원구 성남동,2***,-,48,월세,202401,16,"1,000",50,,광명로134번길,202402~202602,신규,-,,,단독다가구
경기도 성남시중원구 성남동,4***,8m미만,25,월세,202401,18,"1,000",40,2009,둔촌대로113번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,2***,8m미만,92.13,전세,202401,18,"27,000",0,1983,원터로75번길,202401~202601,신규,-,,,단독다가구
경기도 성남시중원구 성남동,4***,-,57.3,전세,202401,19,"25,000",0,,둔촌대로52번길,202404~202604,신규,-,,,단독다가구
경기도 성남시중원구 성남동,3***,12m미만,60,월세,202401,19,"1,000",70,1990,제일로63번길,202401~202506,신규,-,,,단독다가구
