시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
경기도 성남시수정구 신흥동,5***,-,35.06,전세,202201,3,"9,000",0,1994,,-,-,-,,,단독다가구
경기도 성남시수정구 신흥동,6***,-,39.4,전세,202201,3,"12,000",0,1991,,-,-,-,,,단독다가구
경기도 성남시수정구 신흥동,5***,8m미만,25.16,월세,202201,3,400,40,1986,시민로155번길,202201~202401,신규,-,,,단독다가구
경기도 성남시수정구 신흥동,5***,8m미만,86.36,전세,202201,3,"13,500",0,1991,수정로170번길,202201~202401,갱신,-,"13,500",0,단독다가구
경기도 성남시수정구 신흥동,6***,8m미만,39.4,전세,202201,3,"12,000",0,1991,탄리로42번길,202201~202401,갱신,-,"8,500",0,단독다가구
경기도 성남시수정구 신흥동,5***,8m미만,36.36,전세,202201,3,"18,000",0,1989,시민로175번길,202202~202402,신규,-,,,단독다가구
경기도 성남시수정구 신흥동,6***,8m미만,37.07,전세,202201,4,"9,000",0,1980,탄리로16번길,202201~202401,갱신,사용,"9,000",0,단독다가구
경기도 성남시수정구 신흥동,2***,8m미만,35.29,월세,202201,4,200,23,1990,산성대로283번길,-,-,-,,,단독다가구
경기도 성남시수정구 신흥동,3***,-,37.2,전세,202201,5,"12,000",0,1990,,-,-,-,,,단독다가구
경기도 성남시수정구 신흥동,4***,8m미만,39.3,전세,202201,5,"13,500",0,1993,산성대로269번길,202202~202402,신규,-,,,단독다가구
경기도 성남시수정구 신흥동,2***,8m미만,105.5,월세,202201,5,300,45,1990,산성대로295번길,202201~202701,신규,-,,,단독다가구
경기도 성남시수정구 신흥동,3***,-,31.72,월세,202201,6,"10,000",25,1988,,-,-,-,,,단독다가구
경기도 성남시수정구 신흥동,3***,8m미만,44.05,월세,202201,6,"4,000",25,1989,수정남로152번길,-,-,-,,,단독다가구
경기도 성남시수정구 신흥동,3***,8m미만,31.72,월세,202201,6,"10,000",25,1988,수정로228번길,202201~202401,신규,-,,,단독다가구
경기도 성남시수정구 신흥동,3***,8m미만,43.34,전세,202201,7,"8,000",0,1990,수정로228번길,202201~202401,신규,-,,,단독다가구
경기도 성남시수정구 신흥동,6***,8m미만,38.76,전세,202201,8,"6,500",0,1988,탄리로42번길,202201~202401,갱신,사용,"6,500",0,단독다가구
경기도 성남시수정구 신흥동,6***,8m미만,40.97,월세,202201,8,"3,000",30,1989,탄리로30번길,-,-,-,,,단독다가구
경기도 성남시수정구 신흥동,6***,8m미만,30.04,전세,202201,8,"11,000",0,1993,탄리로30번길,202203~202403,신규,-,,,단독다가구
경기도 성남시수정구 신흥동,5***,12m미만,73.09,전세,202201,8,"27,000",0,,수정남로,202203~202403,신규,-,,,단독다가구
경기도 성남시수정구 신흥동,5***,8m미만,39.66,월세,202201,8,"2,000",60,1989,시민로175번길,202202~202402,신규,-,,,단독다가구
