road_condition,contract_area_m2,deposit,contract_period,building_age,Galhyeon,Godeung,Geumgwang,Geumto,Dandae,Dochon,Bokjeong,Sasong,Sanseong,Sangdaewon,Sangjeok,Seongnam,Sujin,Siheung,Sinchon,Sinhung,Simgok,Yangji,Yeosu,Oya,Eunhaeng,Jungang,Changok,Taepyeong,Hadaewon,monthly_rent_bill
0.0,0.14953032685850298,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,45
1.0,0.21252178348280704,1.9978647754005159,0.3333333333333333,3.378597828041747,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,35
0.0,0.1700174267862456,0.2556459848308425,0.3333333333333333,2.969039871108425,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,50
0.0,0.16789220895141754,0.2556459848308425,0.3333333333333333,2.969039871108425,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,50
0.0,0.04165426956263017,-1.3826368142463297,0.3333333333333333,2.969039871108425,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,30
0.0,0.06375653504484209,-1.1345529347870609,0.3333333333333333,2.969039871108425,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,35
0.0,0.07021719726271942,1.0478427405455988,0.16666666666666666,2.7642608926417647,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,42
3.0,0.0425043566965614,-0.9419981829800028,0.3333333333333333,2.559481914175104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,40
2.0,0.15514090194244912,-0.34339182654435163,0.3333333333333333,2.559481914175104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,55
2.0,0.30543630722149023,1.6472261817325184,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,40
0.0,0.048114931780507506,0.2556459848308425,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,65
0.0,0.07225740638415439,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,40
0.0,0.14438729969821906,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,40
0.0,0.12147745143877246,0.2556459848308425,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,25
0.0,0.196625154078293,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,40
0.0,0.09869511624941556,-0.8597259037427745,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,17
0.0,0.0846686785395503,-1.3826368142463297,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30
0.0,0.058953542738130665,0.006987549074145339,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,50
0.0,0.08500871339312281,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,40
0.0,0.08500871339312281,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,40
0.0,0.01275130700896842,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,30
0.0,0.20759127810600592,0.006987549074145339,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,50
0.0,0.2550261401793684,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,45
0.0,0.0425043566965614,-1.3826368142463297,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,33
2.0,0.06375653504484209,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,40
0.0,0.12037233816466188,1.8741125553977391,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,20
0.0,0.01275130700896842,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,35
0.0,0.0425043566965614,-1.3826368142463297,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,30
0.0,0.11833212904322694,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,35
0.0,0.19271475326220938,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,50
0.0,0.19271475326220938,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,50
0.0,0.11051132741105964,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,30
0.0,0.04178178263271985,-1.3826368142463297,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,35
0.0,0.11986228588430316,-0.5361620636188589,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,31
0.0,0.13435627151783058,0.9567406741578705,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,15
0.0,0.13499383686827898,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,60
0.0,0.1275130700896842,-1.3826368142463297,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,30
0.0,0.13499383686827898,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,60
0.0,0.07650784205381052,-1.3826368142463297,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,30
0.0,0.09776002040209121,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30
0.0,0.1373315764865899,-1.1345529347870609,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,13
0.0,0.03400348535724912,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30
0.0,0.07225740638415439,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,43
0.0,0.1752879670166192,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,50
0.0,0.1373315764865899,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,45
0.0,0.20618863433501933,0.2556459848308425,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,40
0.0,0.1275130700896842,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,45
0.0,0.06549921366940112,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,40
0.0,0.021422195775066946,-1.3826368142463297,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,30
0.0,0.3073490032728355,0.4485457456815766,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,30
0.0,0.01700174267862456,-1.3826368142463297,0.16666666666666666,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,36
0.0,0.01700174267862456,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,30
0.0,0.10783355293917625,0.2556459848308425,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,50
0.0,0.08500871339312281,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,50
0.0,0.08500871339312281,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,50
0.0,0.0425043566965614,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,42
0.0,0.1774131848514473,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,45
0.0,0.16699961746078973,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,28
0.0,0.16950737450588688,-1.3826368142463297,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,30
0.0,0.08500871339312281,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,50
0.0,0.04675479236621753,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,40
0.0,0.18973944829345007,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,60
0.0,0.11952225103073065,0.6061693224943431,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,15
0.0,0.08394610447570876,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,45
0.0,0.14026437709865264,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,50
0.0,0.14251710800357037,0.6061693224943431,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,60
0.0,0.021252178348280706,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,40
0.0,0.1946699536702512,0.6061693224943431,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,40
0.0,0.16950737450588688,-0.34339182654435163,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,65
0.0,0.12691800909593232,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,30
0.0,0.1062608917414035,-0.9419981829800028,0.3333333333333333,2.4570924249417736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,45
1.0,0.0861138266672334,-0.9419981829800028,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40
1.0,0.0861138266672334,-0.9419981829800028,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40
0.0,0.08160836485739788,-0.9419981829800028,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,45
0.0,0.18021847239342031,-1.3826368142463297,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,20
0.0,0.10349810855612702,-0.9419981829800028,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,40
0.0,0.0521953500233774,-1.3826368142463297,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,20
0.0,0.24146725039316536,1.2054951299185823,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,55
0.0,0.04888001020104561,-0.9419981829800028,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,45
0.0,0.09912015981638118,-0.34339182654435163,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,50
0.0,0.1381816636205211,-0.9419981829800028,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,40
0.0,0.12581289582182176,-0.34339182654435163,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,65
0.0,0.366515067794449,0.6061693224943431,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,30
0.0,0.1381816636205211,-0.9419981829800028,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,40
0.0,0.11051132741105964,-1.3826368142463297,0.16666666666666666,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,37
0.0,0.04888001020104561,-0.9419981829800028,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,45
0.0,0.04888001020104561,-0.9419981829800028,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,45
0.0,0.1381816636205211,-0.34339182654435163,0.3333333333333333,2.3547029357084432,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,55
