road_condition,contract_area_m2,road_name,contract_period,building_age,contract_year,contract_month,deposit
1.0,30.0,제일로,2,33,2024,1,7500
0.0,29.25,제일로,2,33,2024,1,10000
1.0,83.06,원터로,2,20,2024,1,25000
1.0,39.66,제일로,2,36,2024,1,18000
1.0,39.66,제일로,2,36,2024,1,18000
1.0,42.0,원터로,2,35,2024,1,5000
1.0,58.36,둔촌대로,2,7,2024,1,28000
0.0,50.05,광명로,2,33,2024,1,12000
0.0,92.13,원터로,2,41,2024,1,27000
1.0,41.81,광명로,2,31,2024,1,15000
1.0,57.3,둔촌대로,2,7,2024,1,25000
0.0,33.05,제일로,2,27,2024,1,9000
1.0,57.36,원터로,2,36,2024,1,18000
0.0,43.68,제일로,2,29,2024,1,8000
0.0,50.88,둔촌대로,2,33,2024,1,13000
0.0,55.89,둔촌대로,2,34,2024,1,14000
0.0,39.39,제일로,2,31,2024,2,11000
0.0,19.8,둔촌대로,2,39,2024,2,5200
0.0,42.0,자혜로,2,35,2024,1,11000
0.0,63.09,산성대로,2,39,2024,1,16800
0.0,64.44,광명로,2,36,2024,1,16000
0.0,39.7,광명로,2,36,2024,1,10000
0.0,39.7,광명로,2,36,2024,1,10000
0.0,72.47,광명로,4,36,2024,1,14000
1.0,58.0,산성대로,2,36,2024,1,16000
0.0,24.0,금빛로,2,36,2024,1,6000
2.0,84.13,광명로,2,38,2024,1,35000
0.0,43.5,산성대로,2,38,2024,1,18000
0.0,57.06,자혜로,2,34,2024,1,14000
1.0,65.0,금빛로,1,18,2024,1,16000
0.0,16.5,금빛로,2,32,2024,1,3000
0.0,33.0,광명로,2,35,2024,2,3700
0.0,35.0,광명로,2,35,2024,2,15000
0.0,52.76,자혜로,2,33,2024,1,12000
0.0,76.26,산성대로,2,31,2024,1,18000
0.0,38.64,자혜로,2,32,2024,1,11600
0.0,109.4,산성대로,2,33,2024,1,17000
0.0,19.81,산성대로,2,36,2024,1,5500
0.0,48.52,자혜로,2,33,2024,1,8000
0.0,58.54,자혜로,2,33,2024,1,5500
0.0,35.53,자혜로,2,34,2024,1,8000
0.0,53.67,자혜로,2,32,2024,1,12000
0.0,47.36,박석로,2,31,2024,1,12000
1.0,75.5,희망로,2,29,2024,1,12000
0.0,55.69,금상로,2,36,2024,1,14700
0.0,66.81,금상로,2,47,2024,1,15000
0.0,58.86,금상로,2,34,2024,1,13000
0.0,36.54,박석로,2,36,2024,1,8500
0.0,15.0,금상로,2,41,2024,1,3000
0.0,32.2,박석로,2,37,2024,1,8600
0.0,30.0,박석로,2,20,2024,1,7000
0.0,60.65,희망로,2,49,2024,1,18000
0.0,73.44,박석로,2,27,2024,1,14000
0.0,36.51,박석로,2,40,2024,1,13000
0.0,40.0,금상로,2,31,2024,1,10000
1.0,15.37,박석로,2,38,2024,1,4000
0.0,94.2,박석로,2,40,2024,1,18000
1.0,56.14,박석로,2,34,2024,1,14000
0.0,25.0,박석로,2,41,2024,1,5000
1.0,61.09,박석로,2,3,2024,1,30000
0.0,36.67,박석로,2,35,2024,1,9500
0.0,36.67,박석로,2,35,2024,1,9500
0.0,40.03,박석로,2,36,2024,1,7000
1.0,63.33,희망로,2,33,2024,1,3900
1.0,63.33,희망로,2,33,2024,1,3900
0.0,42.15,박석로,2,35,2024,1,4700
0.0,59.13,금상로,2,22,2024,1,13000
0.0,48.0,둔촌대로,2,34,2024,2,10000
0.0,35.0,둔촌대로,2,21,2024,2,8000
0.0,41.37,박석로,2,34,2024,2,8000
0.0,53.97,금상로,2,36,2024,2,13000
0.0,41.44,박석로,2,36,2024,2,12000
1.0,60.0,여수울로,2,12,2024,1,32000
2.0,78.54,여수울로,2,12,2024,1,30300
2.0,78.54,여수울로,2,12,2024,1,30100
2.0,57.0,여수울로,2,12,2024,1,26000
1.0,40.0,도촌로,2,15,2024,1,18000
1.0,40.0,도촌로,2,15,2024,1,18000
1.0,25.7,도촌로,2,13,2024,1,8800
1.0,70.0,도촌로,2,15,2024,2,27300
1.0,65.0,갈현로,2,12,2024,1,25000
0.0,35.0,마지로,2,37,2024,1,12000
0.0,45.0,둔촌대로,2,35,2024,1,5000
0.0,59.4,원터로,2,36,2024,1,14000
0.0,30.33,광명로,2,38,2024,1,10000
0.0,44.76,광명로,2,41,2024,1,3000
0.0,57.3,광명로,2,32,2024,2,12000
0.0,51.24,성남대로,2,35,2022,1,22000
1.0,50.0,둔촌대로,2,7,2022,1,22000
0.0,35.0,둔촌대로,2,23,2022,1,13000
3.0,50.0,둔촌대로,2,30,2022,1,9000
0.0,37.87,제일로,2,23,2022,1,8000
1.0,83.06,원터로,2,20,2022,1,30000
0.0,36.3,원터로,2,35,2022,1,13000
1.0,55.85,산성대로,2,31,2022,1,15750
3.0,13.2,둔촌대로,2,9,2022,1,8000
0.0,35.0,제일로,2,26,2022,1,9000
0.0,27.36,둔촌대로,2,22,2022,1,6000
0.0,20.0,둔촌대로,2,5,2022,1,7500
0.0,13.0,둔촌대로,2,5,2022,1,7500
0.0,38.63,광명로,2,41,2022,1,3000
0.0,36.3,원터로,2,37,2022,1,8000
0.0,41.94,광명로,2,6,2022,1,25000
1.0,59.0,둔촌대로,2,7,2022,1,25000
1.0,57.3,둔촌대로,2,7,2022,1,26250
0.0,30.0,광명로,2,29,2022,1,10000
1.0,66.0,제일로,2,35,2022,1,25000
1.0,60.98,둔촌대로,2,7,2022,1,35000
1.0,60.98,둔촌대로,2,7,2022,1,35000
1.0,62.0,원터로,2,24,2022,1,13800
0.0,18.9,둔촌대로,2,39,2022,1,11000
0.0,21.0,광명로,2,32,2022,1,7000
1.0,72.6,둔촌대로,2,7,2022,1,24500
0.0,100.73,둔촌대로,2,5,2022,1,40000
0.0,19.0,광명로,2,37,2022,1,6000
1.0,79.05,원터로,2,29,2022,1,20000
1.0,51.0,둔촌대로,2,7,2022,1,29000
0.0,19.8,둔촌대로,2,39,2022,2,5200
0.0,55.05,원터로,2,37,2022,2,17000
0.0,19.8,둔촌대로,2,39,2022,2,5200
0.0,55.05,원터로,2,37,2022,2,17000
0.0,66.0,성남대로,4,36,2022,2,18000
0.0,33.05,제일로,2,27,2022,2,9000
0.0,58.21,원터로,2,22,2022,2,10000
0.0,54.13,광명로,1,6,2022,2,23000
0.0,20.0,둔촌대로,2,5,2022,2,7000
0.0,61.38,광명로,2,42,2022,2,10000
0.0,55.46,둔촌대로,2,28,2022,2,20000
0.0,33.0,둔촌대로,2,23,2022,2,9000
0.0,55.46,둔촌대로,2,28,2022,2,20000
0.0,29.75,성남대로,2,46,2022,2,7800
0.0,62.3,광명로,1,22,2022,2,12000
0.0,61.0,제일로,2,31,2022,2,15000
0.0,44.8,산성대로,2,39,2022,2,15000
0.0,39.44,둔촌대로,2,43,2022,2,5000
0.0,45.0,둔촌대로,2,31,2022,2,15000
1.0,197.0,원터로,2,36,2022,2,25000
0.0,54.71,광명로,2,44,2022,2,13000
0.0,25.0,성남대로,2,35,2022,2,6000
1.0,90.0,둔촌대로,1,7,2022,2,43050
0.0,61.6,둔촌대로,2,33,2022,2,25000
1.0,61.56,제일로,2,21,2022,2,23000
1.0,63.0,제일로,2,12,2022,2,28000
0.0,55.08,둔촌대로,2,37,2022,2,19000
0.0,69.0,둔촌대로,2,37,2022,2,25000
0.0,57.96,원터로,2,25,2022,2,15500
0.0,24.0,광명로,2,18,2022,2,1500
0.0,63.17,둔촌대로,2,7,2022,2,20000
1.0,70.0,둔촌대로,2,21,2022,2,13000
0.0,68.62,성남대로,2,22,2022,2,10000
0.0,24.0,원터로,2,37,2022,2,5000
2.0,50.0,둔촌대로,2,6,2022,2,23000
2.0,87.7,둔촌대로,2,7,2022,2,42000
2.0,19.8,시민로,2,30,2022,2,13000
3.0,23.1,광명로,2,21,2022,2,9000
1.0,74.96,성남대로,2,28,2022,2,6000
1.0,30.0,제일로,2,23,2022,2,12000
1.0,30.0,광명로,2,22,2022,3,11000
0.0,50.42,둔촌대로,2,37,2022,3,11000
