road_condition,contract_area_m2,contract_period,building_age,Galhyeon,Godeung,Geumgwang,Geumto,Dandae,Dochon,Bokjeong,Sasong,Sanseong,Sangdaewon,Sangjeok,Seongnam,Sujin,Siheung,Sinchon,Sinhung,Simgok,Yangji,Yeosu,Oya,Eunhaeng,Jungang,Changok,Taepyeong,Hadaewon,deposit
1.0,0.09573042312847022,0.3333333333333333,0.40701695776465047,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7500
0.0,0.0921405322611526,0.3333333333333333,0.40701695776465047,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10000
1.0,0.34970323568830175,0.3333333333333333,-0.7719224933801698,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,25000
1.0,0.14196821749952132,0.3333333333333333,0.6790799080288398,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,18000
1.0,0.14196821749952132,0.3333333333333333,0.6790799080288398,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,18000
1.0,0.15316867700555237,0.3333333333333333,0.5883922579407767,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5000
1.0,0.23147616312464103,0.3333333333333333,-1.95086194452499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,28000
0.0,0.1917001723147616,0.3333333333333333,0.40701695776465047,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,12000
0.0,0.39311698257706296,0.3333333333333333,1.1325181584691553,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,27000
1.0,0.1522592379858319,0.3333333333333333,0.22564165758852425,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,15000
1.0,0.22640245069883208,0.3333333333333333,-1.95086194452499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,25000
0.0,0.11032931265556192,0.3333333333333333,-0.13710894276372812,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9000
1.0,0.2266896419682175,0.3333333333333333,0.6790799080288398,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,18000
