road_condition,contract_area_m2,road_name,contract_period,building_age,contract_year,contract_month,deposit,monthly_rent_bill
0,25,42,2,36,2024,1,2000,20
0,32.08,51,2,28,2024,1,500,40
1,23.13,51,2,22,2024,1,500,40
0,65.7,3,2,35,2024,1,2000,70
3,80.1,14,2,35,2024,1,3000,85
0,45,51,2,27,2024,1,1000,65
0,60.66,42,2,36,2024,1,5000,60
0,24,3,2,10,2024,1,300,25
0,19.8,14,2,34,2024,1,500,35
1,30,51,2,33,2024,1,2000,35
3,20,14,2,13,2024,1,3000,50
0,50,51,2,30,2024,1,1000,60
1,83.06,42,2,20,2024,1,14500,50
0,35,42,2,33,2024,1,2000,55
1,30,3,2,36,2024,1,500,47
0,59.34,51,2,27,2024,1,4000,70
1,22,3,2,22,2024,1,1000,45
0,16,51,2,36,2024,1,500,37
0,17,14,1,15,2024,1,3000,42
0,25,14,2,15,2024,1,1000,40
1,60,51,1,34,2024,1,1000,70
0,60,42,2,26,2024,1,3000,70
0,23.1,14,2,34,2024,1,500,35
0,49.49,14,2,40,2024,1,5000,77
3,36,23,2,34,2024,1,1000,50
0,35,14,2,23,2024,1,4000,60
0,27,51,2,28,2024,1,500,48
1,23.1,3,2,31,2024,1,1000,60
1,57.3,14,2,7,2024,1,27500,11
0,58.32,3,2,37,2024,1,2000,80
0,50,51,2,17,2024,2,3000,65
0,23,42,2,37,2024,2,300,31
0,23.1,14,2,23,2024,2,2000,60
0,33,23,2,36,2024,1,300,25
0,30,23,2,33,2024,1,1000,50
0,54,23,2,32,2024,1,3000,60
1,10,23,2,35,2024,1,400,30
0,45.14,4,2,31,2024,1,1000,50
0,48.98,3,2,38,2024,1,1000,50
0,32.53,49,2,34,2024,1,300,30
3,29.75,3,2,36,2024,1,500,40
2,16,58,1,43,2024,1,500,49
0,50,3,2,21,2024,1,4000,60
0,45.9,49,2,32,2024,1,2000,47
0,38.61,23,2,29,2024,1,1000,45
1,33,23,2,40,2024,1,1000,28
0,52.98,23,2,41,2024,1,3000,50
1,34.54,3,2,35,2024,1,1000,27
0,40,23,2,37,2024,1,500,30
1,33,4,2,36,2024,1,1000,40
0,33,5,2,38,2024,1,700,40
1,15,49,2,6,2024,1,500,40
0,25,49,2,22,2024,1,500,45
0,38,23,2,29,2024,1,1000,55
2,69.15,49,2,31,2024,1,3000,50
0,53,3,2,31,2024,1,3000,75
2,20,58,2,48,2024,1,500,50
0,46,49,2,34,2024,2,4000,30
1,18.18,3,2,35,2024,2,300,25
0,58.3,23,2,36,2024,2,3000,70
0,48.89,48,2,33,2024,1,1000,45
3,30,23,2,21,2024,1,1000,43
0,46,23,2,30,2024,1,1000,35
0,20,23,2,36,2024,1,200,10
0,22.5,29,2,36,2024,1,1000,55
0,20,23,2,34,2024,1,100,10
0,42,47,2,31,2024,1,1000,45
0,37,29,2,34,2024,1,2000,50
0,17,23,2,14,2024,1,3000,26
3,29,23,1,30,2024,1,500,35
0,17,23,2,14,2024,1,1000,35
1,37.2,48,2,34,2024,2,500,42
0,24,23,2,36,2024,2,4000,10
1,40,14,2,33,2024,1,1000,40
0,35,18,2,31,2024,1,1000,45
0,36.65,58,2,34,2024,1,1000,40
0,61.03,5,2,35,2024,1,2000,65
1,25,18,2,37,2024,1,100,23
0,36.65,58,2,34,2024,1,500,43
1,47.31,18,2,33,2024,1,2000,50
0,40,14,2,30,2024,1,1000,42
1,47.31,18,2,38,2024,1,500,40
1,19.83,14,2,46,2024,1,500,30
0,13.22,18,2,40,2024,1,300,20
1,40.59,18,2,33,2024,1,500,48
0,28.08,18,2,35,2024,1,1000,75
2,19,5,2,36,2024,1,300,36
0,32.66,18,2,33,2024,1,1000,30
0,17.92,5,2,34,2024,1,1000,45
